127.0.0.1 - - [04/Dec/2023:15:40:24 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Dec/2023:15:41:08 -0300] "GET /senhor-financas/rest/receita/pesquisar/1 HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [04/Dec/2023:15:41:37 -0300] "OPTIONS /senhor-financas/rest/usuario/logar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:15:41:37 -0300] "POST /senhor-financas/rest/usuario/logar HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:05:32 -0300] "OPTIONS /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:05:32 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:06:25 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:20:22 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:23:34 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:23:44 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:24:09 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:24:32 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:25:29 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:27:02 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:27:11 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:27:19 -0300] "OPTIONS /senhor-financas/rest/receita/excluir HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:27:19 -0300] "DELETE /senhor-financas/rest/receita/excluir HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:27:20 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:27:24 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:28:10 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:29:23 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:29:32 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:29:58 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:30:06 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:30:41 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:30:55 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:34:39 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:35:03 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:35:24 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:37:57 -0300] "OPTIONS /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:37:57 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:38:37 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:41:13 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:42:06 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:47:11 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [04/Dec/2023:16:47:21 -0300] "GET /senhor-financas/rest/receita/listar/1 HTTP/1.1" 200 2483
